Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 12 [10240/49000 (21%)]	Train Loss: 1.609504	Val Loss: 1.742621	Val Acc: 71
Train Epoch: 12 [15360/49000 (31%)]	Train Loss: 1.597456	Val Loss: 1.745639	Val Acc: 71
Train Epoch: 12 [20480/49000 (42%)]	Train Loss: 1.603598	Val Loss: 1.745187	Val Acc: 71
Train Epoch: 12 [25600/49000 (52%)]	Train Loss: 1.604194	Val Loss: 1.736155	Val Acc: 72
Train Epoch: 12 [30720/49000 (62%)]	Train Loss: 1.585072	Val Loss: 1.731861	Val Acc: 73
Train Epoch: 12 [35840/49000 (73%)]	Train Loss: 1.597159	Val Loss: 1.725717	Val Acc: 73
Train Epoch: 12 [40960/49000 (83%)]	Train Loss: 1.574415	Val Loss: 1.738594	Val Acc: 71
Train Epoch: 12 [46080/49000 (94%)]	Train Loss: 1.601772	Val Loss: 1.732707	Val Acc: 72
Train Epoch: 13 [0/49000 (0%)]	Train Loss: 1.673862	Val Loss: 1.737606	Val Acc: 72
Train Epoch: 13 [5120/49000 (10%)]	Train Loss: 1.577740	Val Loss: 1.751582	Val Acc: 70
Train Epoch: 13 [10240/49000 (21%)]	Train Loss: 1.593996	Val Loss: 1.737532	Val Acc: 72
Train Epoch: 13 [15360/49000 (31%)]	Train Loss: 1.573683	Val Loss: 1.739423	Val Acc: 72
Train Epoch: 13 [20480/49000 (42%)]	Train Loss: 1.575454	Val Loss: 1.747021	Val Acc: 71
Train Epoch: 13 [25600/49000 (52%)]	Train Loss: 1.566120	Val Loss: 1.736524	Val Acc: 72
Train Epoch: 13 [30720/49000 (62%)]	Train Loss: 1.574022	Val Loss: 1.729680	Val Acc: 73
Train Epoch: 13 [35840/49000 (73%)]	Train Loss: 1.578914	Val Loss: 1.729890	Val Acc: 73
Train Epoch: 13 [40960/49000 (83%)]	Train Loss: 1.561025	Val Loss: 1.741589	Val Acc: 72
Train Epoch: 13 [46080/49000 (94%)]	Train Loss: 1.575613	Val Loss: 1.733332	Val Acc: 72
Train Epoch: 14 [0/49000 (0%)]	Train Loss: 1.677952	Val Loss: 1.735654	Val Acc: 72
Train Epoch: 14 [5120/49000 (10%)]	Train Loss: 1.567983	Val Loss: 1.741307	Val Acc: 71
Train Epoch: 14 [10240/49000 (21%)]	Train Loss: 1.554646	Val Loss: 1.735130	Val Acc: 72
Train Epoch: 14 [15360/49000 (31%)]	Train Loss: 1.564085	Val Loss: 1.735195	Val Acc: 72
Train Epoch: 14 [20480/49000 (42%)]	Train Loss: 1.562972	Val Loss: 1.747376	Val Acc: 71
Train Epoch: 14 [25600/49000 (52%)]	Train Loss: 1.557070	Val Loss: 1.739120	Val Acc: 71
Train Epoch: 14 [30720/49000 (62%)]	Train Loss: 1.574451	Val Loss: 1.735149	Val Acc: 71
Train Epoch: 14 [35840/49000 (73%)]	Train Loss: 1.559935	Val Loss: 1.744019	Val Acc: 72
Train Epoch: 14 [40960/49000 (83%)]	Train Loss: 1.569728	Val Loss: 1.735072	Val Acc: 72
Train Epoch: 14 [46080/49000 (94%)]	Train Loss: 1.584613	Val Loss: 1.735661	Val Acc: 72
Train Epoch: 15 [0/49000 (0%)]	Train Loss: 1.632283	Val Loss: 1.740330	Val Acc: 71
Train Epoch: 15 [5120/49000 (10%)]	Train Loss: 1.575492	Val Loss: 1.738881	Val Acc: 71
Train Epoch: 15 [10240/49000 (21%)]	Train Loss: 1.556172	Val Loss: 1.734260	Val Acc: 72
Train Epoch: 15 [15360/49000 (31%)]	Train Loss: 1.560785	Val Loss: 1.737473	Val Acc: 72
Train Epoch: 15 [20480/49000 (42%)]	Train Loss: 1.546736	Val Loss: 1.730200	Val Acc: 72
Train Epoch: 15 [25600/49000 (52%)]	Train Loss: 1.563258	Val Loss: 1.734809	Val Acc: 72
Train Epoch: 15 [30720/49000 (62%)]	Train Loss: 1.558643	Val Loss: 1.737784	Val Acc: 71
Train Epoch: 15 [35840/49000 (73%)]	Train Loss: 1.542582	Val Loss: 1.735822	Val Acc: 72
Train Epoch: 15 [40960/49000 (83%)]	Train Loss: 1.540514	Val Loss: 1.745182	Val Acc: 71
Train Epoch: 15 [46080/49000 (94%)]	Train Loss: 1.553931	Val Loss: 1.736001	Val Acc: 72

test set: Average loss: 1.7380, Accuracy: 7214/10000 (72%)

